Species,POINT_X,POINT_Y
bias,-72.33795,41.47463
bias,-72.30349,41.39412
bias,-72.30754,41.39631
bias,-72.30997,41.39867
bias,-72.3159,41.39988
bias,-72.31706,41.40157
bias,-72.32816,41.3742
bias,-72.28714,41.43016
bias,-72.28746,41.42699
bias,-72.26597,41.43467
bias,-72.26416,41.43704
bias,-72.26959,41.43871
bias,-72.27184,41.44161
bias,-72.27035,41.44232
bias,-72.26749,41.44509
bias,-72.26309,41.44648
bias,-72.2614,41.43576
bias,-72.26306,41.43746
bias,-72.28248,41.47492
bias,-72.28556,41.47364
bias,-72.2863,41.47608
bias,-72.27343,41.48075
bias,-72.2734,41.48042
bias,-72.27375,41.47987
bias,-72.27511,41.47969
bias,-72.25458,41.49663
bias,-72.25429,41.49681
bias,-72.25557,41.49756
bias,-72.25402,41.49644
bias,-72.25163,41.4978
bias,-72.25173,41.49836
bias,-72.30596,41.44248
bias,-72.30584,41.44383
bias,-72.30958,41.39391
bias,-72.31065,41.39392
bias,-72.30725,41.39433
bias,-72.27096,41.49395
bias,-72.27139,41.4938
bias,-72.27028,41.49437
bias,-72.27067,41.49198
bias,-72.29505,41.45276
bias,-72.29458,41.45571
bias,-72.25513,41.49932
bias,-72.25558,41.49821
bias,-72.25291,41.49985
bias,-72.28661,41.41152
bias,-72.2861,41.41139
bias,-72.28549,41.411
bias,-72.28353,41.43904
bias,-72.28108,41.4377
bias,-72.27887,41.43743
bias,-72.2842,41.43189
bias,-72.28045,41.43248
bias,-72.34721,41.42559
bias,-72.34852,41.4252
bias,-72.3499,41.42462
bias,-72.34572,41.41932
bias,-72.33673,41.45523
bias,-72.33749,41.46508
bias,-72.32231,41.48679
bias,-72.31785,41.4857
bias,-72.31302,41.48797
bias,-72.32317,41.48555
bias,-72.33667,41.45974
bias,-72.33699,41.46056
bias,-72.34354,41.4703
bias,-72.34535,41.47529
bias,-72.34066,41.47797
bias,-72.34226,41.47683
bias,-72.29589,41.45343
bias,-72.29708,41.45479
bias,-72.3015,41.45291
bias,-72.30084,41.45684
bias,-72.30049,41.45794
bias,-72.29982,41.45907
bias,-72.29155,41.46085
bias,-72.29377,41.4603
bias,-72.33514,41.46012
bias,-72.33529,41.46236
bias,-72.30479,41.39468
bias,-72.30557,41.39329
