"Longitude","Latitude","X","Y","species"
-87.7651,19.8866,-9769966.24142073,2156174.35484822,"Tapirus bairdii"
-87.7665,19.8851,-9770122.08870785,2156018.14149875,"Tapirus bairdii"
-87.7702,19.8816,-9770533.97082378,2155653.63806722,"Tapirus bairdii"
-87.7705,19.8806,-9770567.36667102,2155549.49278565,"Tapirus bairdii"
-87.7712,19.8808,-9770645.29031457,2155570.32189331,"Tapirus bairdii"
-87.7709,19.8807,-9770611.89446734,2155559.90734268,"Tapirus bairdii"
-90.9653,16.1017,-10126210.8758574,1757694.22492831,"Tapirus bairdii"
-90.9289,16.1448,-10122158.8463925,1762277.25357221,"Tapirus bairdii"
-90.9354,16.1481,-10122882.4230826,1762628.11823917,"Tapirus bairdii"
-90.9327,16.1474,-10122581.8604575,1762553.69287754,"Tapirus bairdii"
-90.9679,16.1018,-10126500.3065334,1757704.85952989,"Tapirus bairdii"
-90.9018,16.1618,-10119142.088192,1764084.67718561,"Tapirus bairdii"
-90.9043,16.1576,-10119420.386919,1763638.1513253,"Tapirus bairdii"
-88.0654,19.2985,-9803395.48450595,2094818.64595793,"Tapirus bairdii"
-88.0436,19.2718,-9800968.71960666,2092027.90415094,"Tapirus bairdii"
-88.0481,19.1755,-9801469.65731523,2081958.7363113,"Tapirus bairdii"
-88.0606,19.3005,-9802861.15095015,2095027.67240118,"Tapirus bairdii"
-87.6172,19.7855,-9753502.08873241,2145642.34862006,"Tapirus bairdii"
-87.737,19.8928,-9766838.16372944,2156820.02136923,"Tapirus bairdii"
-89.1939,18.6817,-9929019.52986616,2030237.13165357,"Tapirus bairdii"
-89.4774,18.2466,-9960578.60550606,1984541.67584937,"Tapirus bairdii"
-89.8155,18.1299,-9998215.72534326,1972266.38749453,"Tapirus bairdii"
-89.8101,18.1435,-9997614.60009298,1973697.33899028,"Tapirus bairdii"
-89.2053,18.729,-9930288.57206121,2035197.8680096,"Tapirus bairdii"
-89.2807,18.6361,-9938682.06166702,2025453.40849597,"Tapirus bairdii"
-89.2854,18.5943,-9939205.26327375,2021067.22794656,"Tapirus bairdii"
-89.1776,18.7387,-9927205.02216623,2036215.01872294,"Tapirus bairdii"
-89.2175,18.7072,-9931646.66984888,2032911.69253288,"Tapirus bairdii"
-89.2345,18.6289,-9933539.10119237,2024697.96915044,"Tapirus bairdii"
-89.4774,18.2465,-9960578.60550606,1984531.16061404,"Tapirus bairdii"
-89.4784,18.2475,-9960689.92499685,1984636.31270165,"Tapirus bairdii"
-89.5134,18.2401,-9964586.10717461,1983858.17327334,"Tapirus bairdii"
-89.5145,18.2066,-9964708.55861449,1980335.11088827,"Tapirus bairdii"
-89.5146,18.2069,-9964719.69056357,1980366.66363651,"Tapirus bairdii"
-89.5153,18.2058,-9964797.61420712,1980250.96996704,"Tapirus bairdii"
-89.2099,18.6749,-9930800.64171886,2029523.84905232,"Tapirus bairdii"
-89.2802,18.6381,-9938626.40192162,2025663.24721434,"Tapirus bairdii"
-89.2801,18.638,-9938615.26997254,2025652.75533568,"Tapirus bairdii"
-89.2807,18.6364,-9938682.06166702,2025484.88445742,"Tapirus bairdii"
-89.2563,18.6926,-9935965.86609166,2031380.42342431,"Tapirus bairdii"
-89.2548,18.6926,-9935798.88685547,2031380.42342431,"Tapirus bairdii"
-89.2525,18.6915,-9935542.85202665,2031265.04861311,"Tapirus bairdii"
-89.2529,18.6921,-9935587.37982297,2031327.98041898,"Tapirus bairdii"
-89.2337,18.7367,-9933450.04559973,2036005.30159101,"Tapirus bairdii"
-89.2497,18.6896,-9935231.15745243,2031065.76312571,"Tapirus bairdii"
-89.2496,18.6897,-9935220.02550335,2031076.25188997,"Tapirus bairdii"
-89.2491,18.6925,-9935164.36575795,2031369.93483533,"Tapirus bairdii"
-89.2549,18.6466,-9935810.01880455,2026555.03486639,"Tapirus bairdii"
-94.2908,17.2605,-10496403.8424904,1880568.9438648,"Tapirus bairdii"
-94.2921,17.2647,-10496548.5578284,1881012.95960659,"Tapirus bairdii"
-92.8408,15.6694,-10334990.5808402,1711672.43209723,"Tapirus bairdii"
-92.8425,15.6654,-10335179.8239745,1711246.15216973,"Tapirus bairdii"
-92.8476,15.6666,-10335747.5533775,1711374.03700262,"Tapirus bairdii"
-92.8455,15.6709,-10335513.7824469,1711832.28497141,"Tapirus bairdii"
-92.8126,15.6598,-10331851.3711998,1710649.34659893,"Tapirus bairdii"
-92.8049,15.6524,-10330994.2111207,1709860.68620907,"Tapirus bairdii"
-92.7904,15.641,-10329380.0785042,1708645.66844675,"Tapirus bairdii"
-92.7916,15.6438,-10329513.6618931,1708944.09997877,"Tapirus bairdii"
